team,team_salary
ATL,"95,563,799.00"
BOS,"93,035,160.00"
BRK,"83,392,086.00"
CHI,"98,033,386.00"
CHO,"102,038,983.00"
CLE,"127,570,596.00"
DAL,"103,564,162.00"
DEN,"83,412,368.00"
DET,"107,816,498.00"
GSW,"99,993,852.00"
HOU,"91,030,536.00"
IND,"94,002,004.00"
LAC,"118,661,756.00"
LAL,"94,204,119.00"
MEM,"110,966,428.00"
MIA,"101,820,404.00"
MIL,"101,360,056.00"
MIN,"83,666,820.00"
NOP,"101,408,319.00"
NYK,"102,613,251.00"
OKC,"96,276,478.00"
ORL,"104,300,318.00"
PHI,"85,143,679.00"
PHO,"85,118,686.00"
POR,"112,845,578.00"
SAC,"95,667,033.00"
SAS,"108,372,142.00"
TOR,"111,532,301.00"
UTA,"80,498,182.00"
WAS,"102,337,717.00"